fullname,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Beautiful 1 bedroom in a quiet residential area.,37769478,Erion,TENTH WARD,42.66261,-73.79026,entire home/apt,83.0,105,2025-05-08,2.88,11,358,27
Modern & Cozy Cntr Square Townhouse Gem from 1854,265709295,Richard And Priscela,SIXTH WARD,42.65594,-73.76591,entire home/apt,144.0,243,2025-05-18,6.04,2,325,40
Charming 170-Year-Old Home in the Heart of Albany,432936385,Jared,SIXTH WARD,42.65143,-73.76497,entire home/apt,164.0,224,2025-05-25,5.7,1,303,82
Cozy 1 bedroom with office and luxurious King size,433884293,Uniah,NINTH WARD,42.66062,-73.79112,entire home/apt,68.0,2,2023-06-26,0.06,1,363,0
Newly refurbished 2 bedroom close to Lark,30920241,Miri,SIXTH WARD,42.65314,-73.76787,entire home/apt,214.0,11,2024-10-28,0.29,2,90,3
"Huge loft with a king bed, balcony and park views",2554853,Nim,SIXTH WARD,42.65547943115234,-73.76625061035156,entire home/apt,135.0,8,2025-02-18,0.25,1,260,2
"Lovely renovated, 2-bedroom home with free parking",457678547,Najeem Adegbemiga,SEVENTH WARD,42.640217,-73.780815,entire home/apt,133.0,16,2024-07-22,0.47,1,165,1
Clean lines and accessible Convenient Location!,7164949,Jordan,THIRD WARD,42.66169974831227,-73.76466827605744,private room,58.0,0,2025-05-18,1.255,1,88,0
Perfect for Families and Traveling Professionals,119340359,Lori,SIXTH WARD,42.65323,-73.76797,entire home/apt,93.0,101,2024-07-28,2.75,2,0,5
ðª´ Historic & Homey 1 Bdrm Apt @ Downtown Albany,335923036,Mohammed,SECOND WARD,42.645351,-73.753647,entire home/apt,1050.0,10,2023-08-26,0.27,1,364,0
Lovely apartment in heart of Albany,1761578,Grant,SIXTH WARD,42.65389,-73.76538,entire home/apt,130.0,6,2024-10-21,0.22,3,216,3
CHEERFULL 3 BEDROOM HOME WITH FREE PARKING.,466389096,Patrice,FIRST WARD,42.6374547,-73.7716647,entire home/apt,140.0,5,2023-09-22,0.14,2,312,0
Pied-a-terre albany,439560254,Sean,SIXTH WARD,42.65541380925019,-73.76367520540953,entire home/apt,109.0,103,2025-05-26,2.95,1,164,25
**New Listing! Modern 2 bdrm Apt in Mansion Area!,203631769,Johnny,SECOND WARD,42.64531,-73.75963,entire home/apt,93.0,28,2023-09-29,0.82,1,0,0
Albany-2 bedrooms apt (1st fl) A&A-Sisters Rental,461579260,Md,SECOND WARD,42.646896,-73.757612,entire home/apt,181.0,3,2024-03-31,0.11,2,160,0
"Elegant, spacious studio apt in historic mansion",1717342,David,SIXTH WARD,42.65405765037151,-73.76071299629517,entire home/apt,84.0,266,2025-05-31,7.78,2,317,88
Relax in Style by Washington Park - Free Parking,67337944,Rabia,ELEVENTH WARD,42.6623,-73.777,entire home/apt,104.0,104,2025-02-23,3.49,1,157,18
Cozy Albany Home,3650672,Zuhair,THIRTEENTH WARD,42.67075,-73.79704,entire home/apt,158.0,4,2025-05-09,0.38,1,156,4
Cozy 1 Bedroom Apt in  desirable Albany locale,58406953,Nicholas,THIRTEENTH WARD,42.67485,-73.79867,entire home/apt,82.0,3,2025-05-10,0.09,1,85,1
"Modern home, King Bed 4 bed 2bath, Crib, parking",10279606,Noriyuki,NINTH WARD,42.65691,-73.78389,entire home/apt,151.0,232,2025-05-26,7.44,3,312,80
Cozy Greenwood Flat (1 BDR Apartment in Albany),360287870,Mela,SIXTH WARD,42.6513719,-73.7673156,entire home/apt,101.0,64,2025-05-28,2.97,1,310,31
Historic 1 bed/ 1 bath,502037254,Andrew,SIXTH WARD,42.65035,-73.76549,entire home/apt,68.0,1,2023-03-26,0.04,3,295,0
Cozy apartment 2min walk to Albanymed office space,484673863,Michaela,NINTH WARD,42.65569,-73.77685,entire home/apt,90.0,17,2025-05-23,0.57,3,329,11
Clean Escape- Centrally located- Self Check-In,255839958,Kira,SEVENTH WARD,42.64284,-73.77997,entire home/apt,107.0,17,2024-08-06,0.55,1,251,1
Modern- Cozy Center City 2 Bedroom Apartment Style,486073806,Keneisha,FIFTH WARD,42.66648,-73.76831,entire home/apt,115.0,27,2025-02-16,0.96,1,351,8
Cozy luxury brownstone w/ parking & yard,258664571,Vorakij,SECOND WARD,42.64439384900326,-73.75975701534425,entire home/apt,156.0,84,2025-05-10,3.02,2,332,31
Rest+Restore Room â¢ Short & Extended Stay â¢,6203319,Melissa,TENTH WARD,42.66117,-73.79091,private room,77.0,31,2025-01-16,1.01,2,54,20
Albany 2 Bedroom House,48328222,John,FOURTEENTH WARD,42.6631926,-73.8153245,entire home/apt,93.0,12,2025-05-18,1.49,1,0,12
Entire cozy unit in Albany,261036923,Hasan,FOURTEENTH WARD,42.6601,-73.80719,entire home/apt,63.0,62,2025-05-21,2.09,1,250,17
Private bedroom and private bath w/separate entry,491907850,Donna,FOURTEENTH WARD,42.66298,-73.81361,private room,46.0,18,2025-06-06,0.64,1,64,5
Mansion in Albany 7minutes to Downtown Albany,444163492,Drasana,FOURTH WARD,42.67996,-73.75352,entire home/apt,93.0,13,2024-02-25,0.46,1,0,0
Elegant newly renovated cozy smart apartment,253824490,Tomar,FIFTH WARD,42.6591503133547,-73.75431932508945,entire home/apt,86.0,36,2024-09-09,1.26,1,253,3
Newly Renovated| Washer&Dryer|5G Wifi,20144241,Carla,FIFTH WARD,42.67283,-73.77367,entire home/apt,91.0,14,2025-04-27,0.56,1,297,7
